"RowID","StudyArea","CountDate","AgeSex","Count"
232,"A","21/10/1983, 00.00.00",,1
233,"A","27/10/1983, 00.00.00","AM",1
234,"A","27/10/1983, 00.00.00","AF",2
235,"A","27/10/1983, 00.00.00","BB",6
236,"A","27/10/1983, 00.00.00","JX",1
237,"A","27/10/1983, 00.00.00",,1
238,"A","08/11/1983, 00.00.00","AM",1
239,"A","08/11/1983, 00.00.00","AF",2
240,"A","08/11/1983, 00.00.00","BB",9
241,"A","08/11/1983, 00.00.00","JX",6
242,"A","08/11/1983, 00.00.00",,2
243,"A","15/11/1983, 00.00.00","AM",2
244,"A","15/11/1983, 00.00.00","AF",2
245,"A","15/11/1983, 00.00.00","JM",1
246,"A","15/11/1983, 00.00.00","BB",6
247,"A","15/11/1983, 00.00.00",,4
248,"A","24/11/1983, 00.00.00","AM",3
249,"A","24/11/1983, 00.00.00","AF",1
250,"A","24/11/1983, 00.00.00","BB",3
251,"A","08/12/1983, 00.00.00","AM",1
252,"A","08/12/1983, 00.00.00","AF",2
253,"A","08/12/1983, 00.00.00","BB",2
254,"A","08/12/1983, 00.00.00","JX",2
255,"A","08/12/1983, 00.00.00",,2
256,"A","15/12/1983, 00.00.00","AM",2
257,"A","15/12/1983, 00.00.00","AF",3
258,"A","15/12/1983, 00.00.00","JF",1
259,"A","15/12/1983, 00.00.00","BB",2
260,"A","15/12/1983, 00.00.00","JX",2
261,"A","30/12/1983, 00.00.00","AM",2
262,"A","30/12/1983, 00.00.00","AF",2
263,"A","30/12/1983, 00.00.00","BB",6
264,"A","18/01/1984, 00.00.00","AM",4
265,"A","18/01/1984, 00.00.00","AF",2
266,"A","18/01/1984, 00.00.00","JF",2
267,"A","18/01/1984, 00.00.00","BB",3
268,"A","18/01/1984, 00.00.00","JX",1
269,"A","01/02/1984, 00.00.00","AM",3
270,"A","01/02/1984, 00.00.00","AF",3
271,"A","01/02/1984, 00.00.00","JF",1
272,"A","01/02/1984, 00.00.00","BB",4
273,"A","16/02/1984, 00.00.00","AM",3
274,"A","16/02/1984, 00.00.00","AF",1
275,"A","16/02/1984, 00.00.00","BB",6
276,"A","16/02/1984, 00.00.00",,1
277,"A","24/02/1984, 00.00.00","AM",2
278,"A","24/02/1984, 00.00.00","AF",3
279,"A","24/02/1984, 00.00.00","JM",1
280,"A","24/02/1984, 00.00.00","JF",1
281,"A","24/02/1984, 00.00.00","BB",9
282,"A","24/02/1984, 00.00.00","JX",1
283,"A","24/02/1984, 00.00.00",,1
284,"A","19/03/1984, 00.00.00","AM",3
285,"A","19/03/1984, 00.00.00","AF",4
286,"A","19/03/1984, 00.00.00","JF",1
287,"A","19/03/1984, 00.00.00","BB",1
288,"A","19/03/1984, 00.00.00",,1
289,"A","23/03/1984, 00.00.00","AM",3
290,"A","23/03/1984, 00.00.00","AF",2
291,"A","23/03/1984, 00.00.00","JM",2
292,"A","23/03/1984, 00.00.00","BB",4
293,"A","23/03/1984, 00.00.00",,1
294,"A","02/04/1984, 00.00.00","AM",2
295,"A","02/04/1984, 00.00.00","AF",2
296,"A","02/04/1984, 00.00.00","JF",3
297,"A","02/04/1984, 00.00.00","BB",2
298,"A","17/04/1984, 00.00.00","AM",3
299,"A","17/04/1984, 00.00.00","AF",1
300,"A","17/04/1984, 00.00.00","JM",1
301,"A","17/04/1984, 00.00.00","BB",1
302,"A","27/04/1984, 00.00.00","AM",3
303,"A","27/04/1984, 00.00.00","AF",1
304,"A","27/04/1984, 00.00.00","JM",1
305,"A","27/04/1984, 00.00.00","JF",1
306,"A","27/04/1984, 00.00.00",,1
307,"A","26/09/1984, 00.00.00","AM",2
308,"A","26/09/1984, 00.00.00","AF",4
309,"A","26/09/1984, 00.00.00","JM",2
310,"A","26/09/1984, 00.00.00","JF",2
311,"A","26/09/1984, 00.00.00","BB",4
312,"A","26/09/1984, 00.00.00",,1
313,"A","02/10/1984, 00.00.00","AM",3
314,"A","02/10/1984, 00.00.00","AF",4
315,"A","02/10/1984, 00.00.00","JF",1
316,"A","02/10/1984, 00.00.00","BB",3
317,"A","15/10/1984, 00.00.00","AM",3
318,"A","15/10/1984, 00.00.00","AF",5
319,"A","15/10/1984, 00.00.00","JM",2
320,"A","15/10/1984, 00.00.00","JF",2
321,"A","15/10/1984, 00.00.00","BB",4
322,"A","15/10/1984, 00.00.00","JX",5
