"SightingID","BehavModifier","BehavSpp"
1151,"4","1"
1154,"1","6"
1158,"3","6"
1161,"2","3"
1162,"2","3"
1163,"2","2"
1164,"2","3"
1165,"2","1"
1167,"13","13"
1172,"3","6"
1187,"4","9"
1189,"2","6"
1193,"4","9"
1196,"1","7"
1201,"1","6"
1204,"13","14"
1206,"3","7"
1221,"4","1"
1222,"2","1"
1223,"2","1"
1225,"4","1"
1227,"3","6"
1229,"4","1"
1235,"3","7"
1237,"1","1"
1239,"3","7"
1242,"3","7"
1246,"1","9"
1249,"3","7"
1251,"4","1"
1259,"4","1"
1260,"2","1"
1270,"2","7"
1271,"7","9"
1281,"3","7"
1282,"3","7"
1285,"3","7"
1297,"3","7"
1299,"3","6"
1313,"1","7"
1319,"3","7"
1320,"3","7"
1324,"3","7"
1330,"2","4"
1333,"3","7"
1335,"1","7"
1338,"3","7"
1344,"3","7"
1347,"2","6"
1353,"3","7"
1364,"3","4"
1372,"1","7"
1384,"1","6"
1386,"1","6"
1387,"4","9"
1389,"4","1"
1390,"12","11"
1399,"1","1"
1414,"9","9"
1434,"1","7"
1447,"3","7"
1461,"3","7"
1466,"2","6"
1469,"3","7"
1472,"1","7"
1495,"3","6"
1496,"3","6"
1508,"1","7"
1510,"3","7"
1515,"2","7"
1524,"2","1"
1527,"9","9"
1532,"4","1"
1537,"1","1"
1538,"2","2"
1545,"2","1"
1547,"4","1"
1548,"4","1"
1549,"2","1"
1553,"2","2"
1554,"1","1"
1557,"4","1"
1566,"3","7"
1569,"4","7"
1575,"3","7"
1579,"3","7"
1581,"3","7"
1584,"3","7"
1586,"1","7"
1589,"1","7"
1591,"3","7"
1597,"3","7"
1601,"1","7"
1604,"3","7"
1618,"3","7"
1622,"3","7"
1624,"1","7"
1638,"3","7"
1639,"1","7"
1642,"3","7"
1649,"1","6"
1659,"3","6"
1661,"4","1"
1664,"4","1"
1665,"2","1"
1666,"2","1"
1676,"12","11"
1681,"4","1"
1682,"4","1"
1683,"2","1"
1684,"4","1"
1686,"1","1"
1687,"2","1"
1688,"4","1"
1692,"2","1"
1693,"2","1"
1694,"1","1"
1695,"4","1"
1696,"4","1"
1697,"1","1"
1699,"4","1"
1700,"4","1"
1701,"4","1"
1702,"4","1"
1703,"2","1"
1704,"4","1"
1705,"1","1"
1706,"4","1"
1710,"4","1"
1711,"13","13"
1714,"1","4"
1720,"1","7"
1722,"4","1"
1724,"9","7"
1727,"4","1"
1728,"13","13"
1731,"2","1"
1732,"2","1"
1733,"4","1"
1738,"4","1"
1744,"4","1"
1748,"2","1"
1749,"4","3"
1750,"1","1"
1751,"2","1"
1753,"1","1"
1754,"4","1"
1756,"4","1"
1759,"4","1"
1760,"3","7"
1762,"4","1"
1767,"9","9"
1770,"1","6"
1773,"2","1"
1774,"1","1"
1775,"1","1"
1776,"1","1"
1777,"1","1"
1778,"2","1"
1780,"9","9"
1783,"4","1"
1791,"4","1"
1794,"4","1"
1795,"4","1"
1796,"2","1"
1797,"2","1"
