"CarcassID","StudyArea","Site","CatchYear","CatchMonth","Species","Sex","Age","Weight","BodyLength","TailLen","HindFootLen","BreedCond","Pregnant","Nipples","AnoGenDist","TestLen","TestWidth","TestWt","OvaryOviductWt","Nembryos","DryWt","LeanDryWt"
1394,"A",3,1986,4,"4","F","A",12.5,117,38,166,"3",0,"1",4.7,,,,0.01,,3.62,3.4
1395,"A",3,1986,4,"4","M","A",17.5,124,41,160,"1",0,,9.8,8.4,5.7,0.248,,,4.29,4.05
1396,"A",3,1986,4,"7","M","A",10.2,109,40,134,"1",0,,5.1,5.5,3.4,0.08,,,2.87,2.6
1397,"A",1,1986,4,"3","M","A",23.5,136,32,170,"1",0,,13.5,8.6,5,0.245,,,6.61,6.01
1398,"A",1,1986,4,"1","F","A",15.4,153,75,210,"3",0,"1",5.6,,,,0.049,,4.72,3.95
1399,"A",1,1986,4,"1","M","A",23.4,172,75,221,"2",0,,23.4,14,7.8,0.87,,,7.18,5.79
1400,"A",5,1986,4,"3","M","A",20.2,118,27,166,"2",0,,10.1,9.2,5.6,0.291,,,5.58,4.97
1401,"A",5,1986,4,"3","F","A",18.4,116,27,161,"4",1,"1",5.5,,,,0.16,3,5.06,4.43
1402,"A",5,1986,4,"3","M","A",17.2,109,24,172,"1",0,,10.6,9.5,5.7,0.335,,,4.87,4.28
1403,"A",5,1986,4,"1","F","A",15.9,158,78,212,"3",0,"1",6.1,,,,0.078,,5.33,3.98
1404,"A",2,1986,4,"3","M","J",10.4,88,18,153,"1",0,,6.6,4.3,3,0.044,,,2.51,2.32
1405,"A",2,1986,4,"3","M","J",10.7,86,19,159,"1",0,,4.4,5,2.9,0.062,,,2.6,2.4
1406,"A",2,1986,4,"3","F","J",10.1,90,19,164,"3",0,"1",4,,,,0.03,,2.46,2.27
1407,"A",6,1986,4,"3","F","A",15.3,115,24,159,"4",0,"1",6.2,,,,0.119,,4.32,3.84
1408,"A",6,1986,4,"7","F","A",7.4,111,36,136,,0,"1",,,,,,,2.25,2
1409,"A",6,1986,4,"7","M","A",8.1,110,40,136,"1",0,,,6.6,5,0.205,,,2.41,2.1
1410,"M",9,1983,7,"3","M","J",17.6,112,28,164,"1",0,,7.5,5.2,4.6,0.059,,,5.05,4.24
1411,"M",9,1983,7,"3","F","J",15.5,105,28,162,"4",0,"1",7.9,,,,0.047,,3.86,3.39
1412,"M",9,1983,7,"3","M","J",8.8,85,21,157,"1",0,,6,2.7,1.8,0.016,,,2.26,1.93
1413,"M",9,1983,7,"3","M","J",16.5,103,23,166,"1",0,,8.8,4.5,3.1,0.04,,,4.23,3.78
1414,"M",9,1983,7,"3","F","J",11.9,96,26,150,"3",0,"1",5.1,,,,0.02,,3.05,2.65
1415,"M",9,1983,7,"3","M","J",15.8,104,25,161,"1",0,,6.6,3.3,1.8,0.013,,,4.48,3.74
1416,"M",9,1983,7,"3","M","J",17.1,110,28,167,"1",0,,8.5,6.3,4,0.086,,,4.57,4.03
1417,"M",9,1983,7,"3","F","A",46.2,134,30,155,"4",1,"2",8.2,,,,14.28,6,9.89,8.66
1418,"M",9,1983,7,"3","M","A",17.1,109,28,175,"1",0,,8.3,4.6,3,0.041,,,4.41,4.1
1419,"M",9,1983,7,"3","M","A",37.1,129,22,172,"1",0,,16.1,9.8,6.4,0.399,,,9.3,8.42
1420,"M",9,1983,7,"3","F","A",23.6,120,26,163,"4",1,"1",7.3,,,,1.59,5,5.85,5.01
1421,"M",9,1983,7,"3","F","A",30,133,31,163,"3",1,"2",6.8,,,,0.26,3,7.81,7.21
1422,"M",9,1983,7,"3","M","A",19.6,116,29,172,"1",0,,9.5,6,3.4,0.069,,,5.75,4.58
1423,"M",9,1983,7,"3","F","A",23.3,120,28,168,"4",1,"1",7.5,,,,2.45,4,6.26,5.21
1424,"M",9,1983,7,"3","F","J",12.8,96,23,162,"4",0,"1",3.9,,,,0.018,,3.34,2.89
1425,"M",9,1983,7,"3","F","A",32.3,131,32,162,"5",1,"2",7.1,,,,4.13,4,7.47,6.28
1426,"M",9,1983,7,"3","M","A",14.6,121,29,168,"1",0,,8.6,5.5,3.4,,,,4.39,3.89
1427,"M",9,1983,7,"3","F","A",36.1,135,31,166,"4",1,"2",8.8,,,,3.25,6,8.83,7.52
1428,"M",9,1983,7,"3","M","J",11.4,99,27,157,"1",0,,6.3,4.1,2.5,0.018,,,2.83,2.62
1429,"M",9,1983,7,"4","M","J",8.2,111,30,165,"1",0,,5.8,3.2,2.2,0.02,,,2.21,1.91
1430,"M",9,1983,7,"4","M","A",20.5,134,42,167,"2",0,,14.4,11.4,6.8,0.66,,,5.7,5.04
1431,"M",9,1983,7,"4","M","A",21.3,144,42,164,"2",0,,15.4,12,7,0.65,,,5.9,5.16
1432,"M",9,1983,7,"4","M","A",16.4,132,43,161,"1",0,,10.4,9,5.2,0.272,,,4.42,4.02
1433,"M",9,1983,7,"1","M","A",20.9,163,77,217,"2",0,,18.8,12,8.1,0.73,,,6.39,4.98
1434,"M",9,1983,7,"1","M","A",16.7,156,72,206,"2",0,,13.5,10.5,5.9,0.364,,,4.72,3.71
1435,"M",9,1983,7,"1","M","A",23.4,168,76,218,"1",0,,19,13,8.1,0.84,,,6.18,5.56
1436,"M",9,1983,7,"7","F","A",7.8,108,44,132,,0,"1",,,,,0.02,,2.31,2.01
1437,"M",9,1983,7,"7","F","A",9,113,45,132,,0,,,,,,0.014,,2.34,2.06
1438,"M",1,1985,1,"3","F","A",18.7,115,28,158,"3",0,"1",4.5,,,,0.037,,5.37,4.8
1439,"M",1,1985,1,"3","M","A",15.6,109,28,158,"1",0,,8,4.2,2.3,0.029,,,4.54,3.91
1440,"M",1,1985,1,"3","F","A",17.6,111,21,156,"3",0,"1",6.1,,,,0.018,,4.85,4.31
1441,"M",1,1985,1,"1","M","A",18.7,162,81,212,"1",0,,10,11.8,3.5,0.106,,,5.43,4.52
1442,"M",2,1987,7,"3","M","A",21,115,29,161,"1",0,,13.8,8.3,5,0.247,,,5.54,5.12
1443,"M",2,1987,7,"3","M","A",28.6,126,30,171,"1",0,,11.8,9.4,5.4,0.281,,,7.27,6.59
1444,"M",2,1987,7,"3","M","A",29.5,128,30,155,"1",0,,13.3,10.5,5.5,0.403,,,7.58,6.89
